x-axis,1,2,MATH
second,Volt,Volt,Volt
-35.5000E-06,+6.1045310910E+00,+6.0907812117E+00,-13.7720322E-03
-35.4000E-06,+6.1033592160E+00,+6.0907812117E+00,-12.6001572E-03
-35.3000E-06,+6.1017967160E+00,+6.0892187117E+00,-12.6001572E-03
-35.2000E-06,+6.0990623409E+00,+6.0880468366E+00,-11.0376571E-03
-35.1000E-06,+6.0963279659E+00,+6.0872655866E+00,-9.0845321E-03
-35.0000E-06,+6.0889060908E+00,+6.0814062115E+00,-7.5220321E-03
-34.9000E-06,+6.0842185907E+00,+6.0786718365E+00,-5.5689071E-03
-34.8000E-06,+6.0838279657E+00,+6.0747655864E+00,-9.0845321E-03
-34.7000E-06,+6.0963279659E+00,+6.0837499616E+00,-12.6001572E-03
-34.6000E-06,+6.0943748408E+00,+6.0817968365E+00,-12.6001572E-03
-34.5000E-06,+6.0943748408E+00,+6.0829687116E+00,-11.4282821E-03
-34.4000E-06,+6.0920310908E+00,+6.0810155865E+00,-11.0376571E-03
-34.3000E-06,+6.0889060908E+00,+6.0774999615E+00,-11.4282821E-03
-34.2000E-06,+6.0846092157E+00,+6.0747655864E+00,-9.8657821E-03
-34.1000E-06,+6.0826560907E+00,+6.0732030864E+00,-9.4751571E-03
-34.0000E-06,+6.0787498406E+00,+6.0692968364E+00,-9.4751571E-03
-33.9000E-06,+6.0756248406E+00,+6.0669530863E+00,-8.6939071E-03
-33.8000E-06,+6.0728904655E+00,+6.0642187113E+00,-8.6939071E-03
-33.7000E-06,+6.0697654655E+00,+6.0618749612E+00,-7.9126571E-03
-33.6000E-06,+6.0658592154E+00,+6.0587499612E+00,-7.1314071E-03
-33.5000E-06,+6.0627342154E+00,+6.0564062112E+00,-6.3501571E-03
-33.4000E-06,+6.0603904653E+00,+6.0528905861E+00,-7.5220321E-03
-33.3000E-06,+6.0572654653E+00,+6.0501562111E+00,-7.1314071E-03
-33.2000E-06,+6.0549217153E+00,+6.0482030860E+00,-6.7407821E-03
-33.1000E-06,+6.0521873402E+00,+6.0466405860E+00,-5.5689071E-03
-33.0000E-06,+6.0498435902E+00,+6.0442968360E+00,-5.5689071E-03
-32.9000E-06,+6.0467185901E+00,+6.0419530860E+00,-4.7876570E-03
-32.8000E-06,+6.0451560901E+00,+6.0399999609E+00,-5.1782820E-03
-32.7000E-06,+6.0424217151E+00,+6.0380468359E+00,-4.3970320E-03
-32.6000E-06,+6.0408592150E+00,+6.0364843359E+00,-4.3970320E-03
-32.5000E-06,+6.0392967150E+00,+6.0349218358E+00,-4.3970320E-03
-32.4000E-06,+6.0385154650E+00,+6.0329687108E+00,-5.5689071E-03
-32.3000E-06,+6.0357810900E+00,+6.0317968358E+00,-4.0064070E-03
-32.2000E-06,+6.0346092150E+00,+6.0310155858E+00,-3.6157820E-03
-32.1000E-06,+6.0334373399E+00,+6.0290624608E+00,-4.3970320E-03
-32.0000E-06,+6.0318748399E+00,+6.0290624608E+00,-2.8345320E-03
-31.9000E-06,+6.0307029649E+00,+6.0274999607E+00,-3.2251570E-03
-31.8000E-06,+6.0303123399E+00,+6.0263280857E+00,-4.0064070E-03
-31.7000E-06,+6.0299217149E+00,+6.0263280857E+00,-3.6157820E-03
-31.6000E-06,+6.0287498399E+00,+6.0251562107E+00,-3.6157820E-03
-31.5000E-06,+6.0287498399E+00,+6.0251562107E+00,-3.6157820E-03
-31.4000E-06,+6.0279685899E+00,+6.0251562107E+00,-2.8345320E-03
-31.3000E-06,+6.0275779649E+00,+6.0243749607E+00,-3.2251570E-03
-31.2000E-06,+6.0267967148E+00,+6.0232030857E+00,-3.6157820E-03
-31.1000E-06,+6.0264060898E+00,+6.0235937107E+00,-2.8345320E-03
-31.0000E-06,+6.0252342148E+00,+6.0232030857E+00,-2.0532820E-03
-30.9000E-06,+6.0260154648E+00,+6.0232030857E+00,-2.8345320E-03
-30.8000E-06,+6.0248435898E+00,+6.0224218357E+00,-2.4439070E-03
-30.7000E-06,+6.0240623398E+00,+6.0228124607E+00,-1.2720320E-03
-30.6000E-06,+6.0232810898E+00,+6.0216405856E+00,-1.6626570E-03
-30.5000E-06,+6.0228904648E+00,+6.0212499606E+00,-1.6626570E-03
-30.4000E-06,+6.0213279648E+00,+6.0208593356E+00,-490.7820E-06
-30.3000E-06,+6.0209373398E+00,+6.0200780856E+00,-881.4070E-06
-30.2000E-06,+6.0201560897E+00,+6.0200780856E+00,-100.1570E-06
-30.1000E-06,+6.0185935897E+00,+6.0192968356E+00,+681.0930E-06
-30.0000E-06,+6.0174217147E+00,+6.0192968356E+00,+1.8529681E-03
-29.9000E-06,+6.0162498397E+00,+6.0185155856E+00,+2.2435931E-03
-29.8000E-06,+6.0154685897E+00,+6.0181249606E+00,+2.6342181E-03
-29.7000E-06,+6.0142967147E+00,+6.0177343356E+00,+3.4154681E-03
-29.6000E-06,+6.0131248396E+00,+6.0169530856E+00,+3.8060931E-03
-29.5000E-06,+6.0119529646E+00,+6.0161718356E+00,+4.1967181E-03
