x-axis,MATH
second,Volt
-19.5800E-06,-10.1390624940E+00
-19.4800E-06,-10.1195312440E+00
-19.3800E-06,-10.0999999940E+00
-19.2800E-06,-10.0804687440E+00
-19.1800E-06,-10.0609374940E+00
-19.0800E-06,-10.0414062440E+00
-18.9800E-06,-10.0199218690E+00
-18.8800E-06,-9.9964843690E+00
-18.7800E-06,-9.9906249940E+00
-18.6800E-06,-9.9632812440E+00
-18.5800E-06,-9.9437499940E+00
-18.4800E-06,-9.9261718690E+00
-18.3800E-06,-9.9124999940E+00
-18.2800E-06,-9.8812499940E+00
-18.1800E-06,-9.8460937440E+00
-18.0800E-06,-9.8285156190E+00
-17.9800E-06,-9.8148437440E+00
-17.8800E-06,-9.7855468690E+00
-17.7800E-06,-9.7582031190E+00
-17.6800E-06,-9.7406249940E+00
-17.5800E-06,-9.7269531190E+00
-17.4800E-06,-9.6957031190E+00
-17.3800E-06,-9.6605468690E+00
-17.2800E-06,-9.6390624940E+00
-17.1800E-06,-9.6136718690E+00
-17.0800E-06,-9.5980468690E+00
-16.9800E-06,-9.5667968690E+00
-16.8800E-06,-9.5609374940E+00
-16.7800E-06,-9.5296874940E+00
-16.6800E-06,-9.4964843690E+00
-16.5800E-06,-9.4828124940E+00
-16.4800E-06,-9.4535156190E+00
-16.3800E-06,-9.4203124940E+00
-16.2800E-06,-9.3753906190E+00
-16.1800E-06,-9.1976562440E+00
-16.0800E-06,-6.0667968690E+00
-15.9800E-06,+4.5269531310E+00
-15.8800E-06,+6.6812500060E+00
-15.7800E-06,+6.6753906310E+00
-15.6800E-06,+6.6773437560E+00
-15.5800E-06,+6.6500000060E+00
-15.4800E-06,+6.6343750060E+00
-15.3800E-06,+6.6304687560E+00
-15.2800E-06,+6.6148437560E+00
-15.1800E-06,+6.6128906310E+00
-15.0800E-06,+6.6031250060E+00
-14.9800E-06,+6.5933593810E+00
-14.8800E-06,+6.5835937560E+00
-14.7800E-06,+6.5738281310E+00
-14.6800E-06,+6.5640625060E+00
-14.5800E-06,+6.5562500060E+00
-14.4800E-06,+6.5562500060E+00
-14.3800E-06,+6.5542968810E+00
-14.2800E-06,+6.5425781310E+00
-14.1800E-06,+6.5250000060E+00
-14.0800E-06,+6.5171875060E+00
-13.9800E-06,+6.5152343810E+00
-13.8800E-06,+6.5074218810E+00
-13.7800E-06,+6.5054687560E+00
-13.6800E-06,+6.4996093810E+00
-13.5800E-06,+6.5015625060E+00
-13.4800E-06,+6.4781250060E+00
-13.3800E-06,+6.4761718810E+00
-13.2800E-06,+6.4703125060E+00
