x-axis,3,MATH
second,Volt,Volt
-34.3000E-06,+14.7593746185E+00,+59.7656240E-03
-34.2000E-06,+14.7554683685E+00,+58.0078115E-03
-34.1000E-06,+14.7535152435E+00,+60.5468740E-03
-34.0000E-06,+14.7535152435E+00,+59.1796865E-03
-33.9000E-06,+14.7496089935E+00,+59.1796865E-03
-33.8000E-06,+14.7476558685E+00,+60.1562490E-03
-33.7000E-06,+14.7437496185E+00,+60.7421865E-03
-33.6000E-06,+14.7437496185E+00,+60.7421865E-03
-33.5000E-06,+14.7417964935E+00,+60.5468740E-03
-33.4000E-06,+14.7378902435E+00,+62.1093741E-03
-33.3000E-06,+14.7359371185E+00,+60.9374990E-03
-33.2000E-06,+14.7339839935E+00,+61.5234366E-03
-33.1000E-06,+14.7320308685E+00,+63.4765616E-03
-33.0000E-06,+14.7300777435E+00,+64.0624991E-03
-32.9000E-06,+14.7281246185E+00,+63.0859366E-03
-32.8000E-06,+14.7261714935E+00,+64.6484366E-03
-32.7000E-06,+14.7222652435E+00,+67.1874991E-03
-32.6000E-06,+14.7203121185E+00,+64.4531241E-03
-32.5000E-06,+14.7183589935E+00,+66.6015616E-03
-32.4000E-06,+14.7203121185E+00,+65.4296866E-03
-32.3000E-06,+14.7164058685E+00,+66.4062491E-03
-32.2000E-06,+14.7144527435E+00,+67.5781241E-03
-32.1000E-06,+14.7105464935E+00,+67.5781241E-03
-32.0000E-06,+14.7105464935E+00,+67.1874991E-03
-31.9000E-06,+14.7066402435E+00,+67.3828116E-03
-31.8000E-06,+14.7027339935E+00,+66.9921866E-03
-31.7000E-06,+14.7027339935E+00,+68.3593742E-03
-31.6000E-06,+14.7007808685E+00,+67.7734366E-03
-31.5000E-06,+14.6988277435E+00,+68.5546867E-03
-31.4000E-06,+14.6968746185E+00,+68.1640617E-03
-31.3000E-06,+14.6968746185E+00,+69.1406242E-03
-31.2000E-06,+14.6890621185E+00,+69.3359367E-03
-31.1000E-06,+14.6890621185E+00,+68.7499992E-03
-31.0000E-06,+14.6871089935E+00,+68.9453117E-03
-30.9000E-06,+14.6851558685E+00,+69.7265617E-03
-30.8000E-06,+14.6812496185E+00,+71.0937492E-03
-30.7000E-06,+14.6792964935E+00,+69.3359367E-03
-30.6000E-06,+14.6792964935E+00,+72.0703117E-03
-30.5000E-06,+14.6753902435E+00,+72.8515617E-03
-30.4000E-06,+14.6753902435E+00,+72.4609367E-03
-30.3000E-06,+14.6695308685E+00,+70.7031242E-03
-30.2000E-06,+14.6695308685E+00,+72.0703117E-03
-30.1000E-06,+14.6656246185E+00,+71.6796867E-03
-30.0000E-06,+14.6636714935E+00,+71.8749992E-03
-29.9000E-06,+14.6617183685E+00,+72.8515617E-03
-29.8000E-06,+14.6578121185E+00,+71.8749992E-03
-29.7000E-06,+14.6578121185E+00,+71.6796867E-03
-29.6000E-06,+14.6539058685E+00,+71.4843742E-03
-29.5000E-06,+14.6519527435E+00,+72.6562492E-03
-29.4000E-06,+14.6499996185E+00,+72.6562492E-03
-29.3000E-06,+14.6499996185E+00,+72.2656242E-03
-29.2000E-06,+14.6460933685E+00,+72.2656242E-03
-29.1000E-06,+14.6441402435E+00,+72.8515617E-03
-29.0000E-06,+14.6441402435E+00,+72.4609367E-03
-28.9000E-06,+14.6421871185E+00,+73.4374992E-03
-28.8000E-06,+14.6402339935E+00,+73.0468742E-03
-28.7000E-06,+14.6402339935E+00,+73.0468742E-03
-28.6000E-06,+14.6363277435E+00,+73.8281242E-03
-28.5000E-06,+14.6343746185E+00,+73.8281242E-03
-28.4000E-06,+14.6324214935E+00,+73.2421867E-03
-28.3000E-06,+14.6304683685E+00,+75.7812493E-03
-28.2000E-06,+14.6265621185E+00,+73.6328117E-03
-28.1000E-06,+14.6265621185E+00,+74.0234367E-03
-28.0000E-06,+14.6226558685E+00,+74.4140617E-03
-27.9000E-06,+14.6207027435E+00,+75.7812493E-03
-27.8000E-06,+14.6207027435E+00,+75.3906243E-03
-27.7000E-06,+14.6187496185E+00,+75.7812493E-03
-27.6000E-06,+14.6148433685E+00,+74.2187492E-03
-27.5000E-06,+14.6167964935E+00,+75.7812493E-03
