time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
0.000000000000000e+000	-7.326227e-002	-8.501946e-004	6.861886e-004	7.241193e-002	1.536526e-003
8.487157972941750e-010	-7.320975e-002	-7.975837e-004	7.008311e-004	7.241202e-002	1.498392e-003
2.546147391882525e-009	-7.318684e-002	-7.746813e-004	7.306391e-004	7.241201e-002	1.505210e-003
5.941010580191863e-009	-7.319865e-002	-7.866210e-004	7.928574e-004	7.241189e-002	1.579237e-003
1.273073695681054e-008	-7.322031e-002	-8.085478e-004	9.283383e-004	7.241162e-002	1.736787e-003
2.631018971004789e-008	-7.325782e-002	-8.465570e-004	1.225918e-003	7.241111e-002	2.072627e-003
3.245081916028458e-008	-7.327322e-002	-8.621822e-004	1.372962e-003	7.241087e-002	2.235304e-003
3.604161945107431e-008	-7.318120e-002	-7.700724e-004	1.465139e-003	7.241096e-002	2.235359e-003
3.779790437585806e-008	-7.295005e-002	-5.384763e-004	1.511697e-003	7.241141e-002	2.050311e-003
3.864238683464610e-008	-7.276230e-002	-3.503353e-004	1.534428e-003	7.241179e-002	1.884910e-003
3.972605376774407e-008	-7.255494e-002	-1.425576e-004	1.563762e-003	7.241221e-002	1.696866e-003
4.021870242919279e-008	-7.250395e-002	-9.147542e-005	1.577122e-003	7.241230e-002	1.654177e-003
4.077946044993980e-008	-7.247674e-002	-6.423281e-005	1.592345e-003	7.241235e-002	1.647603e-003
4.142525489823912e-008	-7.245832e-002	-4.579242e-005	1.609885e-003	7.241236e-002	1.654006e-003
4.235230309339311e-008	-7.244401e-002	-3.147159e-005	1.635075e-003	7.241237e-002	1.665439e-003
4.338807456111954e-008	-7.243518e-002	-2.265680e-005	1.663228e-003	7.241236e-002	1.685218e-003
4.471526587109670e-008	-7.242895e-002	-1.645708e-005	1.699315e-003	7.241233e-002	1.715487e-003
4.644826321828499e-008	-7.242404e-002	-1.159038e-005	1.746449e-003	7.241228e-002	1.757966e-003
4.868952673160731e-008	-7.242041e-002	-8.025847e-006	1.807422e-003	7.241222e-002	1.815535e-003
5.153507544753549e-008	-7.241772e-002	-5.418834e-006	1.884853e-003	7.241213e-002	1.890503e-003
5.485964303750951e-008	-7.241594e-002	-3.742029e-006	1.975336e-003	7.241203e-002	1.979404e-003
5.936561331756907e-008	-7.241452e-002	-2.454337e-006	2.097993e-003	7.241189e-002	2.100834e-003
6.450722030062334e-008	-7.241356e-002	-1.667056e-006	2.237970e-003	7.241173e-002	2.240055e-003
7.184437201147170e-008	-7.241271e-002	-1.048119e-006	2.437741e-003	7.241151e-002	2.439229e-003
7.991742432145871e-008	-7.241211e-002	-6.976703e-007	2.657566e-003	7.241125e-002	2.658651e-003
9.236935616125513e-008	-7.241143e-002	-4.103122e-007	2.996647e-003	7.241086e-002	2.997359e-003
