time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
0.000000000000000e+000	-2.701575e-001	-7.953286e-004	6.010888e-001	2.693621e-001	6.018843e-001
1.294425983067171e-009	-2.701663e-001	-8.047807e-004	6.011073e-001	2.693614e-001	6.019120e-001
3.883277949201514e-009	-2.701762e-001	-8.160310e-004	6.011455e-001	2.693600e-001	6.019614e-001
9.060981882337560e-009	-2.701921e-001	-8.345546e-004	6.012279e-001	2.693574e-001	6.020626e-001
1.941638974774229e-008	-2.702202e-001	-8.679071e-004	6.014158e-001	2.693522e-001	6.022839e-001
3.570777738336889e-008	-2.701940e-001	-8.492946e-004	6.017515e-001	2.693445e-001	6.026009e-001
4.089347844984242e-008	-2.699074e-001	-5.626677e-004	6.018703e-001	2.693446e-001	6.024323e-001
4.354417282650958e-008	-2.696177e-001	-2.716257e-004	6.019352e-001	2.693459e-001	6.022058e-001
4.614981846586680e-008	-2.694711e-001	-1.250287e-004	6.020001e-001	2.693459e-001	6.021248e-001
4.717354649443062e-008	-2.694509e-001	-1.050684e-004	6.020257e-001	2.693456e-001	6.021271e-001
4.859555487526923e-008	-2.694151e-001	-6.961770e-005	6.020613e-001	2.693453e-001	6.021219e-001
5.026318054390105e-008	-2.693996e-001	-5.477241e-005	6.021032e-001	2.693446e-001	6.021527e-001
5.182252847766439e-008	-2.693879e-001	-4.379036e-005	6.021423e-001	2.693440e-001	6.021847e-001
5.494122434519105e-008	-2.693733e-001	-3.056040e-005	6.022208e-001	2.693426e-001	6.022499e-001
5.892283440160628e-008	-2.693615e-001	-2.052067e-005	6.023211e-001	2.693408e-001	6.023404e-001
6.406934299329342e-008	-2.693520e-001	-1.340587e-005	6.024509e-001	2.693384e-001	6.024639e-001
7.030675998592056e-008	-2.693444e-001	-8.773131e-006	6.026083e-001	2.693355e-001	6.026174e-001
7.774481418018620e-008	-2.693378e-001	-5.758261e-006	6.027961e-001	2.693319e-001	6.028027e-001
8.903472123455991e-008	-2.693301e-001	-3.432165e-006	6.030815e-001	2.693266e-001	6.030859e-001
1.002167786656044e-007	-2.693236e-001	-2.187768e-006	6.033642e-001	2.693213e-001	6.033672e-001
1.177976486025495e-007	-2.693143e-001	-1.254209e-006	6.038089e-001	2.693129e-001	6.038105e-001
1.365216058457283e-007	-2.693048e-001	-7.019905e-007	6.042827e-001	2.693040e-001	6.042835e-001
1.660829405817146e-007	-2.692904e-001	-3.248486e-007	6.050308e-001	2.692899e-001	6.050313e-001
1.976376990389314e-007	-2.692751e-001	-1.197506e-007	6.058295e-001	2.692749e-001	6.058298e-001
2.337978926595860e-007	-2.692578e-001	-2.892889e-008	6.067449e-001	2.692576e-001	6.067451e-001
2.678572459018438e-007	-2.692415e-001	1.389266e-008	6.076072e-001	2.692414e-001	6.076074e-001
3.070871316922241e-007	-2.692228e-001	8.263813e-008	6.086004e-001	2.692227e-001	6.086006e-001
3.272337727351637e-007	-2.692132e-001	8.016742e-008	6.091105e-001	2.692131e-001	6.091107e-001
3.474681368959356e-007	-2.692035e-001	9.550728e-008	6.096229e-001	2.692035e-001	6.096230e-001
3.743597461400294e-007	-2.691906e-001	1.611521e-007	6.103038e-001	2.691906e-001	6.103038e-001
4.083189109839111e-007	-2.691744e-001	1.887290e-007	6.111636e-001	2.691745e-001	6.111636e-001
4.472642760027651e-007	-2.691558e-001	2.380704e-007	6.121497e-001	2.691559e-001	6.121496e-001
4.926111080577611e-007	-2.691342e-001	2.636978e-007	6.132978e-001	2.691343e-001	6.132976e-001
5.488348718855549e-007	-2.691074e-001	3.019006e-007	6.147211e-001	2.691075e-001	6.147209e-001
6.040357419566725e-007	-2.690811e-001	3.274180e-007	6.161184e-001	2.690812e-001	6.161182e-001
6.562437618691172e-007	-2.690562e-001	3.440318e-007	6.174397e-001	2.690564e-001	6.174395e-001
7.116871390076135e-007	-2.690298e-001	3.543425e-007	6.188428e-001	2.690300e-001	6.188425e-001
7.692935384481792e-007	-2.690023e-001	3.625898e-007	6.203003e-001	2.690026e-001	6.203001e-001
8.213702602302697e-007	-2.689775e-001	3.754903e-007	6.216177e-001	2.689778e-001	6.216176e-001
8.650890674314488e-007	-2.689567e-001	3.781177e-007	6.227236e-001	2.689569e-001	6.227234e-001
9.140866375793519e-007	-2.689334e-001	3.784698e-007	6.239628e-001	2.689336e-001	6.239626e-001
9.626507160472031e-007	-2.689103e-001	3.802914e-007	6.251909e-001	2.689105e-001	6.251906e-001
1.010013006549036e-006	-2.688877e-001	3.805038e-007	6.263883e-001	2.688880e-001	6.263881e-001
