time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
0.000000000000000e+000	-3.730015e-002	7.475619e-004	-3.415377e-003	3.804765e-002	-4.162873e-003
8.723116041997603e-009	-3.787788e-002	1.692917e-004	-3.816402e-003	3.804711e-002	-3.985628e-003
2.616934812599281e-008	-3.818345e-002	-1.366413e-004	-4.611797e-003	3.804674e-002	-4.475092e-003
5.816708500971934e-008	-3.822036e-002	-1.737822e-004	-6.034143e-003	3.804651e-002	-5.860293e-003
1.221625587841113e-007	-3.828178e-002	-2.356470e-004	-8.730933e-003	3.804605e-002	-8.495208e-003
2.005828361600903e-007	-3.833293e-002	-2.873352e-004	-1.169571e-002	3.804551e-002	-1.140829e-002
3.054948056191442e-007	-3.836322e-002	-3.183018e-004	-1.497498e-002	3.804481e-002	-1.465639e-002
4.087976526317982e-007	-3.835963e-002	-3.153450e-004	-1.734907e-002	3.804415e-002	-1.703328e-002
5.089045153131022e-007	-3.833248e-002	-2.887947e-004	-1.867941e-002	3.804354e-002	-1.839034e-002
6.288316621999579e-007	-3.828491e-002	-2.419258e-004	-1.923899e-002	3.804281e-002	-1.899691e-002
6.883615282851641e-007	-3.825754e-002	-2.149083e-004	-1.910646e-002	3.804245e-002	-1.889136e-002
7.325232815602600e-007	-3.823554e-002	-1.931599e-004	-1.876752e-002	3.804219e-002	-1.857407e-002
7.887204561893291e-007	-3.820800e-002	-1.659475e-004	-1.812992e-002	3.804185e-002	-1.796354e-002
8.455412134830698e-007	-3.818243e-002	-1.407107e-004	-1.730476e-002	3.804151e-002	-1.716370e-002
9.028912624844954e-007	-3.815901e-002	-1.176275e-004	-1.632182e-002	3.804117e-002	-1.620376e-002
9.292846497171992e-007	-3.814905e-002	-1.078299e-004	-1.581964e-002	3.804101e-002	-1.571124e-002
9.482132255350662e-007	-3.814229e-002	-1.011854e-004	-1.543557e-002	3.804090e-002	-1.533391e-002
9.631428483647397e-007	-3.813715e-002	-9.613172e-005	-1.512267e-002	3.804081e-002	-1.502624e-002
9.711407543411266e-007	-3.813447e-002	-9.350300e-005	-1.495095e-002	3.804076e-002	-1.485719e-002
9.850041880477001e-007	-3.812991e-002	-8.901798e-005	-1.464863e-002	3.804067e-002	-1.455937e-002
9.860041880471737e-007	-3.812960e-002	-8.871683e-005	-1.462661e-002	3.804067e-002	-1.453766e-002
9.880041880461210e-007	-3.812899e-002	-8.811650e-005	-1.458221e-002	3.804065e-002	-1.449387e-002
9.920041880440156e-007	-3.812772e-002	-8.687659e-005	-1.449313e-002	3.804063e-002	-1.440603e-002
9.934154173371623e-007	-3.812727e-002	-8.643581e-005	-1.446158e-002	3.804062e-002	-1.437493e-002
9.962378759234558e-007	-3.812639e-002	-8.557473e-005	-1.439827e-002	3.804060e-002	-1.431248e-002
9.972378759229295e-007	-3.812608e-002	-8.526101e-005	-1.437579e-002	3.804060e-002	-1.429031e-002
9.990000000015264e-007	-3.812553e-002	-8.472116e-005	-1.433607e-002	3.804059e-002	-1.425113e-002
1.000000000001000e-006	-3.812520e-002	-8.440331e-005	-1.431349e-002	3.804058e-002	-1.422887e-002
1.001000000000474e-006	-3.812585e-002	-8.506471e-005	-1.429088e-002	3.804057e-002	-1.420560e-002
1.001100000001809e-006	-3.812557e-002	-8.478262e-005	-1.428862e-002	3.804057e-002	-1.420362e-002
1.001300000004479e-006	-3.812480e-002	-8.401393e-005	-1.428409e-002	3.804057e-002	-1.419986e-002
1.001600000001546e-006	-3.812471e-002	-8.392315e-005	-1.427730e-002	3.804057e-002	-1.419316e-002
1.001999999999947e-006	-3.812449e-002	-8.370994e-005	-1.426824e-002	3.804057e-002	-1.418431e-002
1.002040000003257e-006	-3.812455e-002	-8.376374e-005	-1.426733e-002	3.804057e-002	-1.418335e-002
1.002120000002937e-006	-3.812457e-002	-8.378198e-005	-1.426551e-002	3.804057e-002	-1.418152e-002
1.002280000002298e-006	-3.812452e-002	-8.374125e-005	-1.426189e-002	3.804057e-002	-1.417793e-002
1.002600000001019e-006	-3.812443e-002	-8.365359e-005	-1.425463e-002	3.804056e-002	-1.417076e-002
1.003239999998462e-006	-3.812425e-002	-8.347030e-005	-1.424010e-002	3.804056e-002	-1.415641e-002
1.004519999993347e-006	-3.812385e-002	-8.308398e-005	-1.421100e-002	3.804055e-002	-1.412770e-002
1.006313575142859e-006	-3.812329e-002	-8.253421e-005	-1.417015e-002	3.804054e-002	-1.408740e-002
1.008116485741450e-006	-3.812274e-002	-8.198850e-005	-1.412897e-002	3.804053e-002	-1.404676e-002
1.011643659495909e-006	-3.812166e-002	-8.093660e-005	-1.404809e-002	3.804051e-002	-1.396694e-002
1.015748002868022e-006	-3.812043e-002	-7.972436e-005	-1.395344e-002	3.804049e-002	-1.387349e-002
1.023956689612249e-006	-3.811799e-002	-7.733881e-005	-1.376237e-002	3.804043e-002	-1.368480e-002
1.036691517748711e-006	-3.811432e-002	-7.374661e-005	-1.346138e-002	3.804035e-002	-1.338737e-002
1.062161174014698e-006	-3.810738e-002	-6.696250e-005	-1.284330e-002	3.804020e-002	-1.277564e-002
1.113100486546670e-006	-3.809499e-002	-5.488051e-005	-1.155426e-002	3.803989e-002	-1.149803e-002
1.214979111610615e-006	-3.807450e-002	-3.502106e-005	-8.851779e-003	3.803926e-002	-8.815977e-003
1.314801959473311e-006	-3.805881e-002	-1.994119e-005	-6.091776e-003	3.803864e-002	-6.071538e-003
1.416233180687176e-006	-3.804625e-002	-8.009684e-006	-3.204997e-003	3.803800e-002	-3.196721e-003
1.524713013387191e-006	-3.803472e-002	2.841133e-006	-8.385184e-005	3.803733e-002	-8.639109e-005
1.634650756650313e-006	-3.802279e-002	1.408257e-005	3.060108e-003	3.803664e-002	3.046397e-003
1.758616207617192e-006	-3.800659e-002	2.950541e-005	6.531991e-003	3.803587e-002	6.502777e-003
1.841050339283779e-006	-3.799323e-002	4.235490e-005	8.771458e-003	3.803536e-002	8.729341e-003
1.878690121921711e-006	-3.798613e-002	4.921607e-005	9.760579e-003	3.803512e-002	9.711593e-003
1.903467370646672e-006	-3.798103e-002	5.416375e-005	1.039476e-002	3.803497e-002	1.034082e-002
1.919838738109747e-006	-3.797742e-002	5.767928e-005	1.080619e-002	3.803487e-002	1.074878e-002
1.933830428534067e-006	-3.797410e-002	6.090351e-005	1.115230e-002	3.803479e-002	1.109171e-002
1.950608374851059e-006	-3.796997e-002	6.493689e-005	1.156176e-002	3.803468e-002	1.149711e-002
1.960415072208011e-006	-3.796748e-002	6.735852e-005	1.179785e-002	3.803462e-002	1.173075e-002
1.973460243540059e-006	-3.796370e-002	7.105937e-005	1.210751e-002	3.803454e-002	1.203668e-002
1.985933222418967e-006	-3.795836e-002	7.632669e-005	1.239977e-002	3.803447e-002	1.232369e-002
1.995457370659870e-006	-3.795195e-002	8.268420e-005	1.261993e-002	3.803441e-002	1.253751e-002
2.004243334879918e-006	-3.794437e-002	9.021307e-005	1.282025e-002	3.803436e-002	1.273029e-002
2.013701980205229e-006	-3.793545e-002	9.907926e-005	1.303228e-002	3.803431e-002	1.293345e-002
2.029280376875109e-006	-3.791986e-002	1.145847e-004	1.337225e-002	3.803423e-002	1.325798e-002
2.053718530473092e-006	-3.789404e-002	1.402603e-004	1.387762e-002	3.803409e-002	1.373789e-002
2.096436109065569e-006	-3.784635e-002	1.877160e-004	1.468099e-002	3.803386e-002	1.449404e-002
2.139581320947936e-006	-3.779584e-002	2.379936e-004	1.537207e-002	3.803363e-002	1.513521e-002
2.183347690053183e-006	-3.776626e-002	2.673194e-004	1.593968e-002	3.803338e-002	1.567391e-002
2.201011202997150e-006	-3.814085e-002	-1.077041e-004	1.612522e-002	3.803296e-002	1.622961e-002
2.208502453700245e-006	-3.844051e-002	-4.076632e-004	1.619543e-002	3.803266e-002	1.659762e-002
2.213298778412642e-006	-3.839002e-002	-3.571521e-004	1.624179e-002	3.803267e-002	1.659727e-002
2.215291370948058e-006	-3.837893e-002	-3.460701e-004	1.626211e-002	3.803267e-002	1.660823e-002
2.216274276468921e-006	-3.839901e-002	-3.661751e-004	1.627243e-002	3.803265e-002	1.663876e-002
2.216934370115331e-006	-3.839247e-002	-3.596262e-004	1.627944e-002	3.803265e-002	1.663926e-002
2.217568772527878e-006	-3.838365e-002	-3.508091e-004	1.628625e-002	3.803265e-002	1.663725e-002
2.218837577359911e-006	-3.836682e-002	-3.339743e-004	1.630000e-002	3.803266e-002	1.663416e-002
2.219417210826136e-006	-3.835966e-002	-3.268046e-004	1.630633e-002	3.803266e-002	1.663333e-002
2.219809424866152e-006	-3.835590e-002	-3.230455e-004	1.631064e-002	3.803266e-002	1.663388e-002
2.220201638906167e-006	-3.835209e-002	-3.192404e-004	1.631497e-002	3.803266e-002	1.663441e-002
2.220593852946183e-006	-3.834824e-002	-3.153892e-004	1.631932e-002	3.803266e-002	1.663491e-002
2.220986066986198e-006	-3.834435e-002	-3.114920e-004	1.632369e-002	3.803266e-002	1.663538e-002
2.221378281026214e-006	-3.834040e-002	-3.075487e-004	1.632808e-002	3.803266e-002	1.663582e-002
2.221770495066230e-006	-3.833642e-002	-3.035595e-004	1.633248e-002	3.803266e-002	1.663623e-002
2.222162709106246e-006	-3.833238e-002	-2.995241e-004	1.633690e-002	3.803267e-002	1.663662e-002
2.222634818846436e-006	-3.832394e-002	-2.910796e-004	1.634224e-002	3.803267e-002	1.663358e-002
2.222879342303474e-006	-3.831709e-002	-2.842271e-004	1.634502e-002	3.803267e-002	1.662970e-002
2.223128451835088e-006	-3.830727e-002	-2.743986e-004	1.634785e-002	3.803268e-002	1.662342e-002
2.223394183813177e-006	-3.829306e-002	-2.601793e-004	1.635088e-002	3.803269e-002	1.661266e-002
2.223680979525355e-006	-3.827369e-002	-2.407925e-004	1.635416e-002	3.803270e-002	1.659580e-002
2.224015964114035e-006	-3.824920e-002	-2.162816e-004	1.635800e-002	3.803272e-002	1.657449e-002
2.224454197327641e-006	-3.822301e-002	-1.900798e-004	1.636303e-002	3.803274e-002	1.655384e-002
2.225305458736226e-006	-3.819562e-002	-1.626691e-004	1.637285e-002	3.803276e-002	1.653734e-002
2.226264236730724e-006	-3.818977e-002	-1.568219e-004	1.638396e-002	3.803276e-002	1.654215e-002
2.227467612303524e-006	-3.820962e-002	-1.766953e-004	1.639798e-002	3.803273e-002	1.657458e-002
2.228945949325767e-006	-3.826213e-002	-2.292557e-004	1.641534e-002	3.803268e-002	1.664361e-002
2.230652488756368e-006	-3.832620e-002	-2.933886e-004	1.643562e-002	3.803262e-002	1.672840e-002
2.232700690649181e-006	-3.837270e-002	-3.399401e-004	1.646039e-002	3.803257e-002	1.680016e-002
2.235164663230704e-006	-3.839878e-002	-3.660620e-004	1.649085e-002	3.803252e-002	1.685660e-002
2.237800360203879e-006	-3.841483e-002	-3.821417e-004	1.652455e-002	3.803249e-002	1.690643e-002
2.243071754150228e-006	-3.843910e-002	-4.064559e-004	1.659569e-002	3.803244e-002	1.700207e-002
2.252453636629459e-006	-3.847732e-002	-4.447634e-004	1.673369e-002	3.803235e-002	1.717852e-002
2.266102681863780e-006	-3.852862e-002	-4.961901e-004	1.696329e-002	3.803222e-002	1.745968e-002
2.286363328364571e-006	-3.859886e-002	-5.666152e-004	1.735881e-002	3.803203e-002	1.792564e-002
2.299893067561620e-006	-3.864157e-002	-6.094425e-004	1.766068e-002	3.803191e-002	1.827035e-002
2.306474225624577e-006	-3.862189e-002	-5.897824e-004	1.782333e-002	3.803188e-002	1.841333e-002
2.309752258206066e-006	-3.845588e-002	-4.236551e-004	1.790902e-002	3.803200e-002	1.833282e-002
2.311315437243666e-006	-3.824462e-002	-2.122322e-004	1.795089e-002	3.803217e-002	1.816325e-002
2.312170254210877e-006	-3.813540e-002	-1.029235e-004	1.797398e-002	3.803225e-002	1.807391e-002
2.312736488062350e-006	-3.810263e-002	-7.012753e-005	1.798931e-002	3.803227e-002	1.805354e-002
2.313450237843850e-006	-3.808052e-002	-4.800603e-005	1.800865e-002	3.803229e-002	1.805179e-002
2.314234756405076e-006	-3.806666e-002	-3.413721e-005	1.802992e-002	3.803229e-002	1.806188e-002
2.315414278815375e-006	-3.805566e-002	-2.313273e-005	1.806190e-002	3.803230e-002	1.808375e-002
2.316500609271521e-006	-3.804993e-002	-1.741145e-005	1.809138e-002	3.803229e-002	1.810798e-002
2.318429785208576e-006	-3.804429e-002	-1.177553e-005	1.814374e-002	3.803229e-002	1.815513e-002
2.320181372424124e-006	-3.804116e-002	-8.651818e-006	1.819129e-002	3.803228e-002	1.819973e-002
2.322789808044401e-006	-3.803851e-002	-6.018481e-006	1.826212e-002	3.803226e-002	1.826814e-002
2.325668208361109e-006	-3.803672e-002	-4.240352e-006	1.834030e-002	3.803225e-002	1.834465e-002
2.329637683755326e-006	-3.803533e-002	-2.875061e-006	1.844814e-002	3.803222e-002	1.845120e-002
2.333989925086544e-006	-3.803441e-002	-1.989738e-006	1.856639e-002	3.803220e-002	1.856861e-002
2.340083619330191e-006	-3.803371e-002	-1.318815e-006	1.873198e-002	3.803216e-002	1.873357e-002
2.346714223423752e-006	-3.803324e-002	-8.921831e-007	1.891218e-002	3.803212e-002	1.891337e-002
2.355980792741186e-006	-3.803287e-002	-5.812035e-007	1.916403e-002	3.803206e-002	1.916494e-002
2.366322490697514e-006	-3.803260e-002	-3.786895e-007	1.944512e-002	3.803200e-002	1.944584e-002
2.381131559966998e-006	-3.803236e-002	-2.367712e-007	1.984765e-002	3.803190e-002	1.984823e-002
2.397398759630687e-006	-3.803217e-002	-1.473939e-007	2.028982e-002	3.803180e-002	2.029033e-002
2.421671061736408e-006	-3.803196e-002	-9.142837e-008	2.094957e-002	3.803165e-002	2.094996e-002
2.447832618712731e-006	-3.803177e-002	-6.270761e-008	2.166065e-002	3.803148e-002	2.166094e-002
2.486448886306059e-006	-3.803153e-002	-6.611867e-008	2.271020e-002	3.803124e-002	2.271049e-002
2.528278861511912e-006	-3.803129e-002	-9.620800e-008	2.384704e-002	3.803097e-002	2.384736e-002
2.560832034856353e-006	-3.803111e-002	-1.237550e-007	2.473172e-002	3.803076e-002	2.473207e-002
2.602016409489205e-006	-3.803087e-002	-1.406704e-007	2.585093e-002	3.803050e-002	2.585130e-002
2.629990149174977e-006	-3.803068e-002	-1.271852e-007	2.661113e-002	3.803032e-002	2.661148e-002
2.650343859808557e-006	-3.803054e-002	-1.133033e-007	2.716424e-002	3.803020e-002	2.716458e-002
2.676699822866391e-006	-3.803035e-002	-9.673688e-008	2.788044e-002	3.803003e-002	2.788077e-002
2.706955918099774e-006	-3.803014e-002	-7.277108e-008	2.870259e-002	3.802983e-002	2.870290e-002
2.746975649912942e-006	-3.802986e-002	-5.065463e-008	2.979000e-002	3.802958e-002	2.979029e-002
2.790894138821054e-006	-3.802956e-002	-2.777505e-008	3.098325e-002	3.802931e-002	3.098352e-002
2.847061177799204e-006	-3.802918e-002	-7.572633e-009	3.250914e-002	3.802895e-002	3.250938e-002
2.901674479839633e-006	-3.802882e-002	7.662011e-009	3.399264e-002	3.802860e-002	3.399286e-002
2.954389988762962e-006	-3.802848e-002	1.851528e-008	3.542438e-002	3.802827e-002	3.542459e-002
3.010167004692532e-006	-3.802812e-002	2.728796e-008	3.693905e-002	3.802792e-002	3.693925e-002
3.066728401612817e-006	-3.802775e-002	3.324524e-008	3.847477e-002	3.802756e-002	3.847497e-002
3.127561891934361e-006	-3.802736e-002	3.870554e-008	4.012619e-002	3.802717e-002	4.012638e-002
3.198132490174477e-006	-3.802691e-002	4.169875e-008	4.204154e-002	3.802673e-002	4.204173e-002
3.279295960077755e-006	-3.802640e-002	4.490754e-008	4.424391e-002	3.802621e-002	4.424409e-002
3.360101933587434e-006	-3.802588e-002	4.678475e-008	4.643604e-002	3.802570e-002	4.643622e-002
3.438313415538019e-006	-3.802539e-002	4.774795e-008	4.855726e-002	3.802520e-002	4.855744e-002
3.514606571441981e-006	-3.802490e-002	4.845501e-008	5.062595e-002	3.802472e-002	5.062613e-002
3.591142930373104e-006	-3.802442e-002	4.888317e-008	5.270073e-002	3.802424e-002	5.270091e-002
3.667041466863530e-006	-3.802394e-002	4.915756e-008	5.475773e-002	3.802376e-002	5.475790e-002
3.743246253157251e-006	-3.802345e-002	4.932889e-008	5.682252e-002	3.802327e-002	5.682270e-002
3.818337439953634e-006	-3.802298e-002	4.946748e-008	5.885665e-002	3.802280e-002	5.885683e-002
3.893591566890564e-006	-3.802250e-002	4.951452e-008	6.089472e-002	3.802232e-002	6.089490e-002
3.967169685217820e-006	-3.802203e-002	4.954781e-008	6.288692e-002	3.802186e-002	6.288709e-002
4.042768458549506e-006	-3.802156e-002	4.951670e-008	6.493334e-002	3.802138e-002	6.493352e-002
4.113821259497941e-006	-3.802111e-002	4.983074e-008	6.685628e-002	3.802093e-002	6.685647e-002
4.180855520598270e-006	-3.802068e-002	4.987275e-008	6.867005e-002	3.802050e-002	6.867023e-002
