time	V(vc)	V(vdd)	V(vo)	V(vsw)
0.000000000000000e+000	1.521936e+001	6.000000e+000	1.508428e+001	2.556562e+000
1.294425983067171e-009	1.521932e+001	6.000000e+000	1.508424e+001	2.489189e+000
3.883277949201514e-009	1.521925e+001	6.000000e+000	1.508416e+001	2.352754e+000
9.060981882337560e-009	1.521911e+001	6.000000e+000	1.508401e+001	2.071609e+000
1.941638974774229e-008	1.521883e+001	6.000000e+000	1.508372e+001	1.480100e+000
3.570777738336889e-008	1.521839e+001	6.000000e+000	1.508329e+001	5.128723e-001
4.089347844984242e-008	1.521825e+001	6.000000e+000	1.508330e+001	2.326281e-001
4.354417282650958e-008	1.521818e+001	6.000000e+000	1.508337e+001	1.434828e-001
4.614981846586680e-008	1.521811e+001	6.000000e+000	1.508337e+001	1.073873e-001
4.717354649443062e-008	1.521808e+001	6.000000e+000	1.508336e+001	9.949819e-002
4.859555487526923e-008	1.521804e+001	6.000000e+000	1.508333e+001	9.127365e-002
5.026318054390105e-008	1.521800e+001	6.000000e+000	1.508330e+001	8.403635e-002
5.182252847766439e-008	1.521796e+001	6.000000e+000	1.508326e+001	7.883487e-002
5.494122434519105e-008	1.521787e+001	6.000000e+000	1.508319e+001	7.126255e-002
5.892283440160628e-008	1.521776e+001	6.000000e+000	1.508308e+001	6.440125e-002
6.406934299329342e-008	1.521763e+001	6.000000e+000	1.508295e+001	5.845292e-002
7.030675998592056e-008	1.521746e+001	6.000000e+000	1.508279e+001	5.363931e-002
7.774481418018620e-008	1.521726e+001	6.000000e+000	1.508259e+001	4.987860e-002
8.903472123455991e-008	1.521695e+001	6.000000e+000	1.508229e+001	4.613972e-002
1.002167786656044e-007	1.521665e+001	6.000000e+000	1.508199e+001	4.372042e-002
1.177976486025495e-007	1.521618e+001	6.000000e+000	1.508152e+001	4.128006e-002
1.365216058457283e-007	1.521568e+001	6.000000e+000	1.508102e+001	3.957821e-002
1.660829405817146e-007	1.521488e+001	6.000000e+000	1.508023e+001	3.783851e-002
1.976376990389314e-007	1.521403e+001	6.000000e+000	1.507939e+001	3.654401e-002
2.337978926595860e-007	1.521306e+001	6.000000e+000	1.507843e+001	3.541539e-002
2.678572459018438e-007	1.521214e+001	6.000000e+000	1.507752e+001	3.450429e-002
3.070871316922241e-007	1.521108e+001	6.000000e+000	1.507647e+001	3.355337e-002
3.272337727351637e-007	1.521054e+001	6.000000e+000	1.507593e+001	3.311345e-002
3.474681368959356e-007	1.521000e+001	6.000000e+000	1.507539e+001	3.272638e-002
3.743597461400294e-007	1.520927e+001	6.000000e+000	1.507468e+001	3.228359e-002
4.083189109839111e-007	1.520836e+001	6.000000e+000	1.507377e+001	3.181935e-002
4.472642760027651e-007	1.520731e+001	6.000000e+000	1.507273e+001	3.139646e-002
