time	V(vc)	V(vdd)	V(vo)	V(vsw)
0.000000000000000e+000	2.387105e+001	6.000000e+000	2.384690e+001	1.727766e+000
1.568764493309338e-009	2.387104e+001	6.000000e+000	2.384689e+001	1.645955e+000
4.706293472989120e-009	2.387103e+001	6.000000e+000	2.384687e+001	1.480015e+000
1.098135143234869e-008	2.387100e+001	6.000000e+000	2.384683e+001	1.136522e+000
2.353146735800671e-008	2.387094e+001	6.000000e+000	2.384675e+001	4.239788e-001
2.789781700096583e-008	2.387091e+001	6.000000e+000	2.384678e+001	1.794924e-001
3.022713036121560e-008	2.387090e+001	6.000000e+000	2.384689e+001	7.063400e-002
3.114257116076935e-008	2.387090e+001	6.000000e+000	2.384695e+001	4.540916e-002
3.226912424769690e-008	2.387089e+001	6.000000e+000	2.384701e+001	3.123519e-002
3.268185066324092e-008	2.387089e+001	6.000000e+000	2.384702e+001	2.840636e-002
3.334849632552484e-008	2.387089e+001	6.000000e+000	2.384702e+001	2.567873e-002
3.407328465904191e-008	2.387088e+001	6.000000e+000	2.384702e+001	2.348651e-002
3.545584085357101e-008	2.387088e+001	6.000000e+000	2.384702e+001	2.049524e-002
3.672879270166796e-008	2.387087e+001	6.000000e+000	2.384702e+001	1.852118e-002
3.866417879611062e-008	2.387086e+001	6.000000e+000	2.384701e+001	1.642699e-002
4.075263863867473e-008	2.387085e+001	6.000000e+000	2.384700e+001	1.483165e-002
4.391909635276248e-008	2.387084e+001	6.000000e+000	2.384699e+001	1.316988e-002
4.721323675765943e-008	2.387082e+001	6.000000e+000	2.384697e+001	1.197961e-002
5.189067908695222e-008	2.387080e+001	6.000000e+000	2.384695e+001	1.084257e-002
5.720557927357817e-008	2.387077e+001	6.000000e+000	2.384693e+001	9.967069e-003
6.451351511338466e-008	2.387074e+001	6.000000e+000	2.384689e+001	9.167718e-003
7.320393538567949e-008	2.387070e+001	6.000000e+000	2.384685e+001	8.535088e-003
8.492688286648731e-008	2.387064e+001	6.000000e+000	2.384679e+001	7.975716e-003
9.974582671629095e-008	2.387057e+001	6.000000e+000	2.384672e+001	7.510479e-003
1.194623027653274e-007	2.387048e+001	6.000000e+000	2.384663e+001	7.102141e-003
1.457451902844853e-007	2.387035e+001	6.000000e+000	2.384650e+001	6.724824e-003
1.798313089620973e-007	2.387019e+001	6.000000e+000	2.384634e+001	6.335450e-003
2.274347412761779e-007	2.386996e+001	6.000000e+000	2.384612e+001	5.796654e-003
2.614256447153185e-007	2.386980e+001	6.000000e+000	2.384595e+001	5.348586e-003
2.995331247063193e-007	2.386962e+001	6.000000e+000	2.384577e+001	4.777472e-003
3.298045980620890e-007	2.386947e+001	6.000000e+000	2.384563e+001	4.318105e-003
3.514359789430488e-007	2.386937e+001	6.000000e+000	2.384553e+001	4.015327e-003
3.787668097637864e-007	2.386924e+001	6.000000e+000	2.384540e+001	3.679798e-003
4.077594010915009e-007	2.386910e+001	6.000000e+000	2.384526e+001	3.378861e-003
4.487950491793846e-007	2.386891e+001	6.000000e+000	2.384506e+001	3.035151e-003
4.928713091129078e-007	2.386870e+001	6.000000e+000	2.384485e+001	2.753469e-003
5.500373267339209e-007	2.386842e+001	6.000000e+000	2.384458e+001	2.492695e-003
6.044073859387544e-007	2.386816e+001	6.000000e+000	2.384432e+001	2.325356e-003
6.572836162913043e-007	2.386791e+001	6.000000e+000	2.384407e+001	2.225240e-003
7.131118942640957e-007	2.386765e+001	6.000000e+000	2.384380e+001	2.167606e-003
7.691205507268095e-007	2.386738e+001	6.000000e+000	2.384354e+001	2.145170e-003
8.239528439812904e-007	2.386712e+001	6.000000e+000	2.384327e+001	2.148387e-003
8.730044108382074e-007	2.386688e+001	6.000000e+000	2.384304e+001	2.167424e-003
9.251449068353734e-007	2.386663e+001	6.000000e+000	2.384279e+001	2.199931e-003
9.742895967154719e-007	2.386640e+001	6.000000e+000	2.384256e+001	2.239047e-003
1.031330309708700e-006	2.386613e+001	6.000000e+000	2.384229e+001	2.292089e-003
1.092422560820816e-006	2.386584e+001	6.000000e+000	2.384200e+001	2.355129e-003
1.160672502636961e-006	2.386551e+001	6.000000e+000	2.384167e+001	2.431058e-003
1.241581355788946e-006	2.386513e+001	6.000000e+000	2.384129e+001	2.525840e-003
1.318629929400461e-006	2.386476e+001	6.000000e+000	2.384092e+001	2.619284e-003
1.396499821226804e-006	2.386439e+001	6.000000e+000	2.384055e+001	2.715902e-003
1.470467621202121e-006	2.386403e+001	6.000000e+000	2.384019e+001	2.808997e-003
1.546873156427209e-006	2.386367e+001	6.000000e+000	2.383983e+001	2.906064e-003
1.620261377288657e-006	2.386332e+001	6.000000e+000	2.383948e+001	2.999879e-003
1.696482985140413e-006	2.386296e+001	6.000000e+000	2.383912e+001	3.097737e-003
1.768015730416184e-006	2.386262e+001	6.000000e+000	2.383878e+001	3.189851e-003
1.844517616721164e-006	2.386225e+001	6.000000e+000	2.383841e+001	3.288580e-003
1.928121857189269e-006	2.386185e+001	6.000000e+000	2.383801e+001	3.396653e-003
2.030474563839702e-006	2.386136e+001	6.000000e+000	2.383753e+001	3.529130e-003
2.144887405942930e-006	2.386082e+001	6.000000e+000	2.383698e+001	3.677363e-003
2.299869893952755e-006	2.386008e+001	6.000000e+000	2.383624e+001	3.878296e-003
2.481580300153774e-006	2.385921e+001	6.000000e+000	2.383538e+001	4.113969e-003
2.769466040476731e-006	2.385784e+001	6.000000e+000	2.383401e+001	4.487348e-003
3.158986290399679e-006	2.385599e+001	6.000000e+000	2.383215e+001	4.992316e-003
3.622986290398311e-006	2.385377e+001	6.000000e+000	2.382994e+001	5.593321e-003
4.086986290396943e-006	2.385156e+001	6.000000e+000	2.382773e+001	6.193631e-003
4.550986290395576e-006	2.384935e+001	6.000000e+000	2.382553e+001	6.793148e-003
5.014986290394208e-006	2.384714e+001	6.000000e+000	2.382332e+001	7.391836e-003
5.478986290392840e-006	2.384493e+001	6.000000e+000	2.382111e+001	7.989676e-003
5.942986290391472e-006	2.384272e+001	6.000000e+000	2.381890e+001	8.586656e-003
6.406986290390104e-006	2.384051e+001	6.000000e+000	2.381669e+001	9.182774e-003
6.870986290388736e-006	2.383830e+001	6.000000e+000	2.381448e+001	9.778023e-003
7.334986290387369e-006	2.383609e+001	6.000000e+000	2.381228e+001	1.037240e-002
7.798986290386001e-006	2.383388e+001	6.000000e+000	2.381007e+001	1.096591e-002
8.262986290384633e-006	2.383167e+001	6.000000e+000	2.380786e+001	1.155855e-002
8.726986290383265e-006	2.382946e+001	6.000000e+000	2.380565e+001	1.215032e-002
9.190986290381897e-006	2.382725e+001	6.000000e+000	2.380345e+001	1.274122e-002
9.654986290380530e-006	2.382504e+001	6.000000e+000	2.380124e+001	1.333125e-002
1.011898629037916e-005	2.382283e+001	6.000000e+000	2.379903e+001	1.392041e-002
1.058298629037779e-005	2.382063e+001	6.000000e+000	2.379683e+001	1.450871e-002
1.104698629037643e-005	2.381842e+001	6.000000e+000	2.379462e+001	1.509613e-002
1.197498629037369e-005	2.381400e+001	6.000000e+000	2.379021e+001	1.626839e-002
1.290298629037096e-005	2.380959e+001	6.000000e+000	2.378580e+001	1.743720e-002
1.383098629036822e-005	2.380517e+001	6.000000e+000	2.378139e+001	1.860257e-002
1.475898629036548e-005	2.380076e+001	6.000000e+000	2.377698e+001	1.976450e-002
1.522298629036412e-005	2.379855e+001	6.000000e+000	2.377478e+001	2.034425e-002
1.553599999999655e-005	2.379706e+001	6.000000e+000	2.377329e+001	2.073507e-002
1.553699999999603e-005	2.379706e+001	6.000000e+000	2.377328e+001	2.073627e-002
1.553899999999497e-005	2.379705e+001	6.000000e+000	2.377328e+001	2.073869e-002
1.554299999999287e-005	2.379703e+001	6.000000e+000	2.377326e+001	2.074370e-002
1.554665800782007e-005	2.379701e+001	6.000000e+000	2.377324e+001	2.074825e-002
1.555397402346753e-005	2.379698e+001	6.000000e+000	2.377320e+001	2.075739e-002
1.562186661446807e-005	2.379666e+001	6.000000e+000	2.377288e+001	2.084204e-002
1.588937531930151e-005	2.379538e+001	6.000000e+000	2.377161e+001	2.117543e-002
1.594561750272588e-005	2.379512e+001	6.000000e+000	2.377135e+001	2.124553e-002
1.594861750272431e-005	2.379510e+001	6.000000e+000	2.377133e+001	2.124922e-002
1.595261750272220e-005	2.379508e+001	6.000000e+000	2.377131e+001	2.125421e-002
1.597113878513967e-005	2.379499e+001	6.000000e+000	2.377122e+001	2.127727e-002
1.597530495677652e-005	2.379498e+001	6.000000e+000	2.377120e+001	2.128246e-002
1.598363730005020e-005	2.379494e+001	6.000000e+000	2.377116e+001	2.129283e-002
1.598663730004862e-005	2.379492e+001	6.000000e+000	2.377115e+001	2.129658e-002
1.599063730004652e-005	2.379490e+001	6.000000e+000	2.377113e+001	2.130156e-002
1.599199999999940e-005	2.379490e+001	6.000000e+000	2.377112e+001	2.130326e-002
1.599472539990515e-005	2.379488e+001	6.000000e+000	2.377111e+001	2.130665e-002
1.599772539990357e-005	2.379487e+001	6.000000e+000	2.377110e+001	2.131039e-002
1.599872539990305e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131163e-002
