time	V(vc)	V(vdd)	V(vo)	V(vsw)
0.000000000000000e+000	1.661897e+001	6.000000e+000	1.658233e+001	2.263690e+000
8.487157972941750e-010	1.661896e+001	6.000000e+000	1.658235e+001	2.218939e+000
2.546147391882525e-009	1.661895e+001	6.000000e+000	1.658235e+001	2.128757e+000
5.941010580191863e-009	1.661892e+001	6.000000e+000	1.658232e+001	1.944877e+000
1.273073695681054e-008	1.661887e+001	6.000000e+000	1.658226e+001	1.563056e+000
2.631018971004789e-008	1.661877e+001	6.000000e+000	1.658214e+001	7.675008e-001
3.245081916028458e-008	1.661873e+001	6.000000e+000	1.658209e+001	3.940328e-001
3.604161945107431e-008	1.661870e+001	6.000000e+000	1.658211e+001	1.755897e-001
3.779790437585806e-008	1.661869e+001	6.000000e+000	1.658221e+001	8.269332e-002
3.864238683464610e-008	1.661868e+001	6.000000e+000	1.658230e+001	5.330110e-002
3.972605376774407e-008	1.661867e+001	6.000000e+000	1.658240e+001	3.327296e-002
4.021870242919279e-008	1.661867e+001	6.000000e+000	1.658242e+001	2.833260e-002
4.077946044993980e-008	1.661867e+001	6.000000e+000	1.658243e+001	2.522512e-002
4.142525489823912e-008	1.661866e+001	6.000000e+000	1.658243e+001	2.273463e-002
4.235230309339311e-008	1.661865e+001	6.000000e+000	1.658243e+001	2.022993e-002
4.338807456111954e-008	1.661865e+001	6.000000e+000	1.658243e+001	1.823117e-002
4.471526587109670e-008	1.661864e+001	6.000000e+000	1.658242e+001	1.640218e-002
4.644826321828499e-008	1.661863e+001	6.000000e+000	1.658241e+001	1.469305e-002
4.868952673160731e-008	1.661861e+001	6.000000e+000	1.658240e+001	1.314187e-002
5.153507544753549e-008	1.661859e+001	6.000000e+000	1.658238e+001	1.177743e-002
5.485964303750951e-008	1.661856e+001	6.000000e+000	1.658236e+001	1.068682e-002
5.936561331756907e-008	1.661853e+001	6.000000e+000	1.658232e+001	9.682264e-003
6.450722030062334e-008	1.661849e+001	6.000000e+000	1.658229e+001	8.907538e-003
7.184437201147170e-008	1.661844e+001	6.000000e+000	1.658223e+001	8.168454e-003
7.991742432145871e-008	1.661838e+001	6.000000e+000	1.658218e+001	7.625509e-003
9.236935616125513e-008	1.661829e+001	6.000000e+000	1.658209e+001	7.072246e-003
1.054961243788025e-007	1.661820e+001	6.000000e+000	1.658199e+001	6.681875e-003
1.275911724529441e-007	1.661804e+001	6.000000e+000	1.658183e+001	6.240422e-003
1.498326582657569e-007	1.661788e+001	6.000000e+000	1.658167e+001	5.918860e-003
1.913034773318861e-007	1.661758e+001	6.000000e+000	1.658137e+001	5.429686e-003
2.286827099065233e-007	1.661731e+001	6.000000e+000	1.658110e+001	4.977499e-003
2.609716622369723e-007	1.661707e+001	6.000000e+000	1.658087e+001	4.528875e-003
3.015579100335702e-007	1.661678e+001	6.000000e+000	1.658058e+001	3.904595e-003
3.275468071738119e-007	1.661659e+001	6.000000e+000	1.658039e+001	3.504791e-003
3.480682965739668e-007	1.661644e+001	6.000000e+000	1.658024e+001	3.213876e-003
3.753156639588889e-007	1.661624e+001	6.000000e+000	1.658004e+001	2.874707e-003
4.067889326489146e-007	1.661602e+001	6.000000e+000	1.657981e+001	2.543417e-003
4.469731535216084e-007	1.661572e+001	6.000000e+000	1.657952e+001	2.202811e-003
4.916589978346334e-007	1.661540e+001	6.000000e+000	1.657920e+001	1.914572e-003
5.481812419133592e-007	1.661499e+001	6.000000e+000	1.657879e+001	1.653785e-003
6.032058197623369e-007	1.661459e+001	6.000000e+000	1.657840e+001	1.482458e-003
6.559513989418467e-007	1.661421e+001	6.000000e+000	1.657801e+001	1.381076e-003
7.115824550108993e-007	1.661381e+001	6.000000e+000	1.657761e+001	1.322694e-003
7.682033174921318e-007	1.661340e+001	6.000000e+000	1.657720e+001	1.299258e-003
8.219864695941867e-007	1.661301e+001	6.000000e+000	1.657682e+001	1.301957e-003
8.724009557120604e-007	1.661264e+001	6.000000e+000	1.657645e+001	1.321245e-003
9.228304252741071e-007	1.661228e+001	6.000000e+000	1.657609e+001	1.352738e-003
9.804277606943052e-007	1.661186e+001	6.000000e+000	1.657567e+001	1.399041e-003
1.037851177853634e-006	1.661145e+001	6.000000e+000	1.657526e+001	1.453156e-003
1.106601508329107e-006	1.661095e+001	6.000000e+000	1.657476e+001	1.525240e-003
1.174026084469274e-006	1.661046e+001	6.000000e+000	1.657427e+001	1.601118e-003
1.248102066172055e-006	1.660993e+001	6.000000e+000	1.657374e+001	1.688665e-003
1.327802359707073e-006	1.660935e+001	6.000000e+000	1.657316e+001	1.785893e-003
1.403348523755510e-006	1.660880e+001	6.000000e+000	1.657262e+001	1.880015e-003
1.480767170545724e-006	1.660824e+001	6.000000e+000	1.657206e+001	1.977801e-003
1.553502806291018e-006	1.660772e+001	6.000000e+000	1.657153e+001	2.070480e-003
1.623573718110422e-006	1.660721e+001	6.000000e+000	1.657103e+001	2.160293e-003
